,Model,Brand,Colour,Style,Fabrication,Price,Picture,Age,size,Product url
0,Club workout - black/white/colsha,Reebok,Black/white/colsha,Code fv9915,Leather Upper,1299,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2253793/original.jpg,men,"UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",https://superbalist.com/men/shoes/sneakers/club-workout-fv9915-black-white-colsha/740783
1,Run 60s 2.0 - fz0961 - core black/ftwr white/core black,adidas Originals,Core black/ftwr white/core black,Code FZ0961,,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2250982/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",https://superbalist.com/men/shoes/sneakers/run-60s-2-0-fz0961-core-black-ftwr-white-core-black/676044
2,Courtphase - ftwr white/cloud white,adidas Originals,Ftwr white/ftwr white/cloud white,Code Q47165,,1399,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2251336/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",https://superbalist.com/men/shoes/sneakers/courtphase-q47165-ftwr-white-cloud-white/676046
3,Retrovulc - ftwr white/core black/dove grey,adidas Originals,Ftwr white/core black/dove grey,Code H02209,,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2251316/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",https://superbalist.com/men/shoes/sneakers/retrovulc-h02209-ftwr-white-core-black-dove-grey/676048
4,Court Tourino - ftwr white/core black,adidas Originals,Ftwr white/ftwr white/core black,Code H02177,Synthetic Upper with Rubber Sole,1699,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2246002/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, UK 14, ",https://superbalist.com/men/shoes/sneakers/court-tourino-h02177-ftwr-white-ftwr-white-core-black/676020
5,Court Tourino - core black/ftwr white,adidas Originals,Core black/ftwr white/ftwr white,Code H02176,Synthetic upper with leather panels & Rubber sole,1699,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2251300/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",https://superbalist.com/men/shoes/sneakers/court-tourino-h02176-core-black-ftwr-white/676021
6,ZX 1K Boost - crew navy/semi solar gold,adidas Originals,Crew navy/semi solar gold/crew navy,Code H00416,Ripstop upper with Rubber sol,1699,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2251091/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",https://superbalist.com/men/shoes/sneakers/zx-1k-boost-h00416-crew-navy-semi-solar-gold-crew-navy/676030
7,NMD_R1 - ftwr white/sonic aqua,adidas Originals,Ftwr white/sonic aqua/ftwr white,Code GZ7921,Stretch knit upper with Rubber sole,2799,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2251288/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",https://superbalist.com/men/shoes/sneakers/nmd-r1-gz7921-ftwr-white-sonic-aqua/676038
8,Bravada - fv8085 - core black/ftwr white,adidas Originals,Core black/ftwr white,Code FV8085,Canvas Upper with Rubber Sole,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2250897/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",https://superbalist.com/men/shoes/sneakers/bravada-fv8085-core-black-ftwr-white/676041
9,Breaknet - fx8707 - ftwr white/core black/core black,adidas Originals,Ftwr white/core black/core black,Code FX8707,Synthetic Leather with Rubber Sole,999,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2250905/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",https://superbalist.com/men/shoes/sneakers/breaknet-fx8707-ftwr-white-core-black-core-black/676042
10,NMD_R1 primeblue - core black/gum,adidas Originals,Core black/core black/gum 2,Code GZ9257,,2799,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2245822/original.jpg,men,"UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, UK 14, UK 6, ",https://superbalist.com/men/shoes/sneakers/nmd-r1-primeblue-gz9257-core-black-core-black-gum/676018
11,"ZX 10,000 C - grey/sonic fuchsia/semi solar slime",adidas Originals,Grey Five / Sonic Fuchsia / Semi Solar Slime,Code GZ7724,Textile and suede upper with Rubber sole,2499,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2251275/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",https://superbalist.com/men/shoes/sneakers/zx-10-000-c-gz7724-grey-five-sonic-fuchsia-semi-solar-slime/676027
12,Samba recon lt - crywht/cblack/gum,adidas Originals,crywht/cblack/gum,Code B75903,Leather & Synthetic Upper with Rubber Sole,2499,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2233625/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",https://superbalist.com/men/shoes/sneakers/samba-recon-lt-crywht-cblack-gum/642116
13,Breaknet - fx8708 - core black/ftwr white/ftwr white,adidas Originals,Core black/ftwr white/ftwr white,Code FX8708,,999,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2250921/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",https://superbalist.com/men/shoes/sneakers/breaknet-fx8708-core-black-ftwr-white-ftwr-white/676043
14,Forum low - fy7756 - ftwr white/ftwr white/team royal blue,adidas Originals,Ftwr white/ftwr white/team royal blue,Code FY7756,Leather Upper with Rubber Sole,1699,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2250950/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",https://superbalist.com/men/shoes/sneakers/forum-low-fy7756-ftwr-white-ftwr-white-team-royal-blue/676000
15,Stan Smith - ftwr white/core black,adidas Originals,Ftwr white/ftwr white/core black,Code FX5500,Synthetic Upper with Rubber Sole,1499,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2245795/original.jpg,men,"UK 3, UK 4, UK 4.5, UK 5, UK 5.5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",https://superbalist.com/men/shoes/sneakers/stan-smith-fx5500-ftwr-white-ftwr-white-core-black/676003
16,Superstar - core black/gold met.,adidas Originals,Core black/core black/gold met.,Code H00185,Synthetic Upper with Rubber Sole,1699,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2251253/original.jpg,men,"UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 6, ",https://superbalist.com/men/shoes/sneakers/superstar-h00185-core-black-core-black-gold-met/676007
17,"Air Force 1 '07 LV8 ""indigo""",Nike,White/obsidian-white-black,Code CZ0338-100,Synthetic Leather and Recycled Canvas Upper with Cork & Rubber Sole,1999,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2246920/original.jpg,men,"UK 6.5, UK 7.5, UK 8.5, UK 9.5, UK 10, UK 10.5, UK 11, UK 6, UK 7, UK 8, UK 9, UK 12, ",https://superbalist.com/men/shoes/sneakers/air-force-1-07-lv8-cz0338-100-white-obsidian-white-black/647359
18,ZX 1K Boost - triple black,adidas Originals,Core black/core black/core black,Code H68721,Knit mesh upper with overlays and weldings with Rubber Sole,1699,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2246111/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",https://superbalist.com/men/shoes/sneakers/zx-1k-boost-h68721-core-black-core-black-core-black/676006
19,NY 90 - dash grey/solar red/ftwr white,adidas Originals,Dash grey/solar red/ftwr white,Code H02169,Synthetic Upper with Rubber Sole,1299,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2245994/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",https://superbalist.com/men/shoes/sneakers/ny-90-h02169-dash-grey-solar-red-ftwr-white/676013
20,Stan Smith vulc - legend ink/red/ftwr white,adidas Originals,Legend ink/red/ftwr white,Code GZ8954,Textile Upper with Rubber Sole,1399,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2246985/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",https://superbalist.com/men/shoes/sneakers/stan-smith-vulc-gz8954-legend-ink-red-ftwr-white/676031
21,Hoops 2.0 - ftwr white/core black,adidas Originals,ftwr white/core black/ftwr white,Code FY8629,Synthetic Leather Upper & Rubber Sole,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2245815/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",https://superbalist.com/men/shoes/sneakers/hoops-2-0-fy8629-ftwr-white-core-black-ftwr-white/676047
22,Ozweego - cream white/core black/focus olive,adidas Originals,Cream white/core black/focus olive,Code H04242,Textile Upper with Rubber Sole,1999,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2247387/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",https://superbalist.com/men/shoes/sneakers/ozweego-h04242-cream-white-core-black-focus-olive/676012
23,Niteball - core black/ftwr white/silver met.,adidas Originals,Core black/ftwr white/silver met.,Code H67360,"Leather, Mesh & Synthetic Upper with Rubber Sole",2499,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2246064/original.jpg,men,"UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 6, ",https://superbalist.com/men/shoes/sneakers/niteball-h67360-core-black-ftwr-white-silver-met/676022
24,Stan Smith vulc - ftwr white/ambient sky/grey two,adidas Originals,Ftwr white/ambient sky/grey two,Code GZ8955,Canvas Upper with Rubber Sole,1399,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2247297/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",https://superbalist.com/men/shoes/sneakers/stan-smith-vulc-gz8955-ftwr-white-ambient-sky-grey-two/676032
25,237 - black (001),New Balance,Black,Code MS237CC,Mesh Upper with Suede Overlays & Rubber sole,1499,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2247649/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/237-black-001-ms237cc/689798
26,Retrovulc - core black/ftwr white,adidas Originals,Core black/ftwr white/core black,Code h02210,Synthetic Upper with Rubber Sole,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2247305/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",https://superbalist.com/men/shoes/sneakers/retrovulc-h02210-core-black-ftwr-white/676049
27,Terrex voyager 21 h.rdy - savannah/core black/screaming orange,adidas Performance,"Savannah, Core Black & Screaming Orange",Code Fw9406,Textile Upper with Rubber sole,1999,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2246084/original.jpg,men,"UK 6, UK 7, UK 7.5, UK 8, UK 8.5, UK 9, UK 9.5, UK 10, UK 10.5, UK 11, UK 12, ",https://superbalist.com/men/shoes/trainers/terrex-voyager-21-h-rdy-fw9406-savannah-blk-screaming-orange/676779
28,Forum mid- ftwr white/team royal blue,adidas Originals,Ftwr white/team royal blue/ftwr white,Code FY4976,Leather Upper with Rubber Sole,2199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2246933/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",https://superbalist.com/men/shoes/sneakers/forum-mid-fy4976-ftwr-white-team-royal-blue/675998
29,Calow - industrial grey,G-Star RAW,Industrial Grey,Code D20036-B703-1816,Cow Suede & PU Upper,2199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2221230/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",https://superbalist.com/men/shoes/sneakers/calow-industrial-grey/670398
30,Calow - white wp,G-Star RAW,White wp,Code D20036-B703-B557,,2199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2221187/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",https://superbalist.com/men/shoes/sneakers/calow-white-wp/670400
31,Suede triplex - peacoat-high risk red-puma white,PUMA,Navy,Code 38117504,Suede Upper with Rubber Sole,1599,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2243968/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",https://superbalist.com/men/shoes/sneakers/suede-triplex-38117504-peacoat-high-risk-red-puma-white/715628
32,"Blazer mid '77 ""pomegranate""",Nike,Black/Solar Flare-White-Black,Code CI1166-001,Canvas Upper with Rubber Sole,1999,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2243872/original.jpg,men,"UK 6, UK 6.5, UK 7, UK 7.5, UK 8, UK 8.5, UK 9, UK 10, UK 11, UK 12, ",https://superbalist.com/men/shoes/sneakers/blazer-mid-77-ci1166-001-black-solar-flare-white-black/647349
33,"Air Force 1 '07 LV8 ""Himalayan Rhubarb""",Nike,White/Natural-White-Black,Code CZ0338-101,Leather Upper with Rubber Sole,1999,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2243880/original.jpg,men,"UK 6, UK 7, UK 7.5, UK 8, UK 8.5, UK 9, UK 9.5, UK 10, UK 10.5, UK 11, UK 6.5, UK 12, ",https://superbalist.com/men/shoes/sneakers/air-force-1-07-lv8-cz0338-101-white-natural-white-black/647360
34,Suede triplex - puma black-steel gray-puma white,PUMA,puma black-steel gray-puma white,Code 38117501,Suede Upper with Rubber Sole,1599,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2243983/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",https://superbalist.com/men/shoes/sneakers/suede-triplex-38117501-puma-black-steel-gray-puma-white/715627
35,Zx 1k boost - ftwr white/core black/halo silver,adidas Originals,"White, Black Core/Silver Halo",,Textile Upper/Rubber Sole,1699,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2065899/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",https://superbalist.com/men/shoes/sneakers/zx-1k-boost-fx6510-ftwr-white-core-black-halo-silver/676004
36,Forum low - fy7757 - ftwr white/ftwr white/core black,adidas Originals,Ftwr white/ftwr white/core black,Code FY7757,Leather Upper with Rubber Sole,1699,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2245804/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",https://superbalist.com/men/shoes/sneakers/forum-low-fy7757-ftwr-white-ftwr-white-core-black/676001
37,Zx 1k boost - core black/ftwr white/black silver met.,adidas Originals,"Black, White & Silver met",,Textile Upper/Rubber Sole,1699,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2065914/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",https://superbalist.com/men/shoes/sneakers/zx-1k-boost-fx6515-core-black-ftwr-white-black-silver-met/676005
38,Instapump Fury OG nm - FW7699 - black/true grey 7/white,Reebok,"Black, True Grey & White",Code FW7699,Mesh Upper with Rubber Sole,1999,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2242830/original.jpg,men,"UK 6, UK 8, UK 9, UK 10, UK 7, ",https://superbalist.com/men/shoes/sneakers/instapump-fury-og-nm-fw7699-black-true-grey-7-white/740784
