,Model,Brand,Colour,Style,Fabrication,Price,Picture,Age,size,Product url
0,Gazelle w - clear lilac/cloud white,adidas Originals,Clear Lilac/Cloud White,Code B41663,Nubuck Upper with Rubber Sole,1699,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2254179/original.jpg,women,"UK 4, UK 6, UK 7, UK 7.5, UK 8, ",https://superbalist.com/women/shoes/sneakers/gazelle-w-b41663-clelil-clelil-ftwwht/741129
1,"Air Force 1 '07 SE ""Indigo""",Nike,White/Obsidian-White-Black,Code CZ0269-100,Synthetic Upper with Rubber Sole,1999,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2253623/original.jpg,women,"UK 3, UK 4, UK 4.5, UK 5, UK 5.5, UK 6, UK 6.5, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/air-force-1-07-se-cz0269-100-white-obsidian-white-black/647374
2,Lyte classic - white/camel beige,ASICS,White/camel beige,Code 1202A112-100,Mesh upper with Suede overlays & Rubber sole,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2250261/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/lyte-classic-white-camel-beige/714571
3,Nizza platform w - fv5322 - ftwr white/ftwr white/ftwr white,adidas Originals,Ftwr white/ftwr white/ftwr white,Code fv5322,Textile Upper with Rubber Sole,1399,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2250883/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/nizza-platform-w-fv5322-ftwr-white-ftwr-white-ftwr-white/676100
4,Retrorun - eh1859 - core black/cloud white/alumina,adidas Originals,Core black/cloud white/alumina,Code EH1859,Nylon and suede upper with Rubber sole,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2250871/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/retrorun-eh1859-core-black-cloud-white-alumina/676121
5,Courtpoint - fy8407 - ftwr white/silver met./dove grey,adidas Originals,Ftwr white/silver met./dove grey,Code FY8407,Leather Upper with Rubber Sole,899,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2250963/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/courtpoint-fy8407-ftwr-white-silver-met-dove-grey/676122
6,Court Bold - ftwr white/iron met.,adidas Originals,Ftwr white/ftwr white/iron met.,Code Gz2695,Synthetic Upper with Rubber Sole,1099,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2251261/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/court-bold-gz2695-ftwr-white-ftwr-white-iron-met/676125
7,Stan Smith - ftwr white/core black,adidas Originals,Ftwr white/ftwr white/core black,Code FX5500,Synthetic Upper with Rubber Sole,1499,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2245795/original.jpg,men,"UK 3, UK 4, UK 4.5, UK 5, UK 5.5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",https://superbalist.com/men/shoes/sneakers/stan-smith-fx5500-ftwr-white-ftwr-white-core-black/676003
8,NMD_R1 - halo blush/ftwr white/core black,adidas Originals,Halo Blush / Cloud White / Core Black,Code GZ7996,Stretch Knit Upper with Rubber Sole,2799,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2246268/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/nmd-r1-gz7996-halo-blush-ftwr-white-core-black/676111
9,Courtpoint - core black/iron met./ftwr white,adidas Performance,Core black/iron met./ftwr white,Code H01966,Leather Upper with Rubber Sole,899,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2246337/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/courtpoint-h01966-core-black-iron-met-ftwr-white/676123
10,Court Tourino - ftwr white/core black,adidas Originals,Ftwr white/ftwr white/core black,Code H05279,Synthetic Upper with Rubber Sole,1699,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2247407/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/court-tourino-h05279-ftwr-white-core-black/676107
11,Top Sleek - ftwr white/gold met.,adidas Originals,Ftwr white/ftwr white/gold met.,Code Q46111,Synthetic Upper with rubber Sole,1599,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2247421/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/top-sleek-q46111-ftwr-white-gold-met/676108
12,ZX 1K Boost - clear pink/ftwr white/violet tone,adidas Originals,Clear pink/ftwr white/violet tone,Code H02936,,1699,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2246020/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/zx-1k-boost-h02936-clear-pink-ftwr-white-violet-tone/676112
13,Futurecourt - h68185 - ftwr white/ftwr white/wonder white,adidas Originals,Ftwr White & Wonder White,Code h68185,Leather Upper with Rubber sole,1599,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2224707/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/futurecourt-h68185-ftwr-white-ftwr-white-wonder-white/676124
14,Choigo - ftwr white/pulse yellow/light purple,adidas Originals,Ftwr white/pulse yellow/light purple,Code H04324,Mesh & Synthetic Upper with Rubber Sole,1999,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2246044/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/choigo-h04324-ftwr-white-pulse-yellow-light-purple/676101
