,Model,Brand,Colour,Style,Fabrication,Price,Picture,Age,size,Fabricaton,Origin,Fabriction,Fabrocation,Materia,Platform,Volume,Suitable,Includes,Wedge,Sport,Sneaker,Base,Footwear,Ingredients,Formal,Toe,Size,Qty,Care
0,Gazelle w - clear lilac/cloud white,adidas Originals,Clear Lilac/Cloud White,Code B41663,Nubuck Upper with Rubber Sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2254179/original.jpg,women,"UK 4, UK 6, UK 7, UK 7.5, UK 8, ",,,,,,,,,,,,,,,,,,,,
1,"Air Force 1 '07 SE ""Indigo""",Nike,White/Obsidian-White-Black,Code CZ0269-100,Synthetic Upper with Rubber Sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2253623/original.jpg,women,"UK 3, UK 4, UK 4.5, UK 5, UK 5.5, UK 6, UK 6.5, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
2,Lyte classic - white/camel beige,Asics,White/camel beige,Code 1202A112-100,Mesh upper with Suede overlays & Rubber sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2250261/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
3,Nizza platform w - fv5322 - ftwr white/ftwr white/ftwr white,Adidas Originals,Ftwr white/ftwr white/ftwr white,Code fv5322,Textile Upper with Rubber Sole,R1399,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2250883/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
4,Retrorun - eh1859 - core black/cloud white/alumina,Adidas Originals,Core black/cloud white/alumina,Code EH1859,Nylon and suede upper with Rubber sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2250871/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
5,Courtpoint - fy8407 - ftwr white/silver met./dove grey,Adidas Originals,Ftwr white/silver met./dove grey,Code FY8407,Leather Upper with Rubber Sole,R899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2250963/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
6,Court Bold - ftwr white/iron met.,Adidas Originals,Ftwr white/ftwr white/iron met.,Code Gz2695,Synthetic Upper with Rubber Sole,R1099,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251261/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
7,Stan Smith - ftwr white/core black,Adidas Originals,Ftwr white/ftwr white/core black,Code FX5500,Synthetic Upper with Rubber Sole,R1499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2245795/original.jpg,men,"UK 3, UK 4, UK 4.5, UK 5, UK 5.5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",,,,,,,,,,,,,,,,,,,,
8,NMD_R1 - halo blush/ftwr white/core black,Adidas Originals,Halo Blush / Cloud White / Core Black,Code GZ7996,Stretch Knit Upper with Rubber Sole,R2799,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246268/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
9,Courtpoint - core black/iron met./ftwr white,adidas Performance,Core black/iron met./ftwr white,Code H01966,Leather Upper with Rubber Sole,R899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246337/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
