,Model,Brand,Colour,Style,Fabrication,Price,Picture,Age,size
0,"Dunk High SE ""First Use""",Nike,University Red/Sail,Code DH0960-600,Leather & Suede Upper with Rubber Sole,R2199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2253639/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, "
1,Club workout - black/white/colsha,Reebok,Black/white/colsha,Code fv9915,Leather Upper,R1299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2253793/original.jpg,men,"UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, "
2,Court Tourino - ftwr white/core black,Adidas Originals,Ftwr white/ftwr white/core black,Code H02177,Synthetic Upper with Rubber Sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246002/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, UK 14, "
3,Court Tourino - core black/ftwr white,Adidas Originals,Core black/ftwr white/ftwr white,Code H02176,Synthetic upper with leather panels & Rubber sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251300/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, "
4,ZX 1K Boost - crew navy/semi solar gold,Adidas Originals,Crew navy/semi solar gold/crew navy,Code H00416,Ripstop upper with Rubber sol,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251091/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, "
5,Run 60s 2.0 - fz0961 - core black/ftwr white/core black,Adidas Originals,Core black/ftwr white/core black,Code FZ0961,,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2250982/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, "
6,Courtphase - ftwr white/cloud white,adidas Originals,Ftwr white/ftwr white/cloud white,Code Q47165,,R1399,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251336/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, "
7,Retrovulc - ftwr white/core black/dove grey,Adidas Originals,Ftwr white/core black/dove grey,Code H02209,,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251316/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, "
8,NMD_R1 - ftwr white/sonic aqua,Adidas Originals,Ftwr white/sonic aqua/ftwr white,Code GZ7921,Stretch knit upper with Rubber sole,R2799,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251288/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, "
9,Samba recon lt - crywht/cblack/gum,adidas Originals,crywht/cblack/gum,Code B75903,Leather & Synthetic Upper with Rubber Sole,R2499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2233625/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, "
10,Bravada - fv8085 - core black/ftwr white,Adidas Originals,Core black/ftwr white,Code FV8085,Canvas Upper with Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2250897/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, "
11,"ZX 10,000 C - grey/sonic fuchsia/semi solar slime",Adidas Originals,Grey Five / Sonic Fuchsia / Semi Solar Slime,Code GZ7724,Textile and suede upper with Rubber sole,R2499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251275/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, "
12,Breaknet - fx8707 - ftwr white/core black/core black,Adidas Originals,Ftwr white/core black/core black,Code FX8707,Synthetic Leather with Rubber Sole,R999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2250905/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, "
13,NMD_R1 primeblue - core black/gum,Adidas Originals,Core black/core black/gum 2,Code GZ9257,,R2799,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2245822/original.jpg,men,"UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, UK 14, UK 6, "
