,Model,Brand,Colour,Style,Fabrication,Price,Picture,Age,size
0,Cali star pop wn’s - puma white-ignite pink-elektro peach,PUMA,"Puma White, Ignite Pink & Elektro Peach",Code 380693 01,Leather Upper with Rubber Sole,R1799,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2216313/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
1,Oslo maja metal wn's - puma white-puma team gold,PUMA,Puma White & Puma Gold,Code 375039 01,Faux Leather Upper with Rubber Sole,R1899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2216200/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
2,Puma r78 og - gray violet-puma white-steel gray,PUMA,Gray Violet-Puma White-Steel Gray,Code 380787 02,Mesh & Nylon Upper with Synthetic Leather Overlays & Rubber Sole,R1099,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2212289/original.jpg,women,"UK 3, UK 4, UK 6, UK 7, UK 8, UK 5, "
3,Blazer mid '77 se - white/obsidian-white-obsidian,Nike,White/obsidian-white-obsidian,Code DC9265-100,Canvas Upper with Rubber Sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2211376/original.jpg,women,"UK 3, UK 4, UK 4.5, UK 5, UK 5.5, UK 6, UK 6.5, UK 7, UK 7.5, UK 8, "
4,Blazer mid '77 se - white/light sienna-white,Nike,White/light sienna-white,Code DC9265-101,Canvas Upper with Rubber Sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2211398/original.jpg,women,"UK 3, UK 4, UK 4.5, UK 5, UK 5.5, UK 6, UK 6.5, UK 7, UK 7.5, UK 8, "
5,Ralph Sampson 70 mid rubber kitsune -  puma x maison kitsune - black,PUMA Select,Black,Code 380291 01,Nylon Upper with Moulded Rubber Overlay & Rubber Sole,R2999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2209380/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
6,237 - grey (030),New Balance,Grey,Code ws237cd,Suede & Mesh upper with Rubber Sole,R1299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2209070/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 3, UK 8, "
7,L viper pu fash 20 - grey & sage,SOVIET,Grey,,Faux Leather Upper,R279,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2209177/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
8,Carina crew iridescent - puma white,PUMA,Puma White,Code 368880 01,Leather Upper with Rubber Sole,R1099,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2209276/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
9,Puma R78 futr iri wmn's - gray violet-elektro purple,PUMA,Gray Violet-Elektro Purple,Code 375466 02,Mesh Upper with Synthetic Leather Overlays & Rubber Sole,R1299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2209305/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
