,Model,Brand,Colour,Style,Fabrication,Price,Picture,Age,size,Fabricaton,Origin
0,Chuck taylor all star garden party platform ox - floral print,Converse,Egret/White/Bright poppy,Code 570920C,Canvas Upper with Rubber Sole,R1124,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2178932/original.jpg,women,"UK 3, UK 4, UK 5, UK 7, UK 6, UK 8, ",,
1,Suede mayu up wn's - suede mayu up wn's - 38165001 - lapis blue-marshmallow-gum 3,PUMA,Lapis blue-Marshmallow-Gum 3,Code 381650-01,Suede Upper/Rubber Sole,R1424,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2176419/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,
2,Oslo maja Ocean Queen,PUMA,Puma white-Cloud pink-Eggnog,Code 375059-01,Leather Upper/Rubber Sole,R1424,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2176116/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,
3,Rs 2.0 femme wn's - puma white-desert sage-marshmallow,PUMA,puma white-desert sage-marshmallow,Code 374958-01,Suede/Textile Upper/Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2176077/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,
4,373v2 - rose water (692),New Balance,Rose water,Code WL574NE2,Suede/Mesh Upper/Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2176863/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,
5,720 - black,New Balance,Black,Code WL720EB,Suede/Nylon Upper/Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2176907/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, ",,
6,720 - beige (268),New Balance,Beige,Code WL720CB1,Textile/Suede Upper/Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2176915/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, ",,
7,5740 (284),New Balance,Cream,Code W5740CD,Suede/Mesh Upper/Rubber Sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2176830/original.jpg,women,"UK 4, UK 5, UK 8, UK 3, UK 6, UK 7, ",,
8,X-ray - puma black-puma white-cloud pink-apricot blush,PUMA,Puma black - Puma white - Cloud pink-apricot blush,Code 372602-27,Textile/Mesh Upper/Rubber Sole,R974,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2175883/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,
9,Cali sport cnv wn's - puma white-gray violet-shifting sand-eggnog-fiery coral,PUMA,puma white-gray violet-shifting sand-eggnog-fiery coral,Code 375991-01,Synthetic Leather Upper/Rubber Sole,R1349,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2176258/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,
10,Hedra Ocean Queen,PUMA,Eggnog-Puma white-Cloud pink,Code 375121-01,Suede/Mesh Upper/Rubber Sole,R1499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2176196/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,
11,Cadet pro - mercury,G-Star RAW,Mercury,,Cow Suede Leather Upper with Rubber Sole,R1299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2176009/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,
12,Hedra minimal wn's - shifting sand-fizzy yellow-puma white,PUMA,Shifting sand-Fizzy yellow-Puma white,Code 375119-02,Leather/Synthetic Upper/Rubber Sole,R1499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2176171/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, UK 3, ",,
13,Puma skye cv dot - cloud pink-puma white,PUMA,Cloud pink - Puma white,Code 368883-01,Canvas Upper/Rubber Sole,R899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2175806/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,
14,Cali star snake wn’s - puma white-puma white,PUMA,Puma white-Puma white,Code 80629-01,Leather Upper/Rubber Sole,R1349,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2176393/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,
15,Cruise rider Ocean Queen,PUMA,Eggnog-puma silver-cloud pink,Code 375073-01,Textile/Mesh Upper/Rubber Sole,R1274,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2176135/original.jpg,women,"UK 4, UK 6, UK 7, UK 8, UK 3, UK 5, ",,
16,720 - brown (225),New Balance,Brown,Code WL720CF1,Suede/Textile Upper/Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2176928/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 3, UK 8, ",,
17,373v2 - black/white (048),New Balance,Black/White,Code WL373SN2,Suede/Mesh Upper/Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2176883/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,
18,Cadet pro - dark creuset,G-Star RAW,dark crueset,,PU Upper with Rubber Sole,R1104,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2176032/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,
19,5740 - light pink (986),New Balance,Light pink,Code W5740CC-986,Suede/Mesh Upper,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2176769/original.jpg,women,"UK 4, UK 7, UK 8, UK 3, UK 5, UK 6, ",,
20,Nylite gum - black,Tretorn,Black,,Canvas Upper with Rubber sole,R899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2176667/original.jpg,women,"UK 3.5, UK 4, UK 6, UK 6.5, UK 7.5, UK 5, ",,
21,373v2 - grey (030),New Balance,Grey,Code WL373SM2,Mesh/Suede Upper/Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2176875/original.jpg,women,"UK 4, UK 3, UK 5, UK 6, UK 7, UK 8, ",,
22,2341 alpina jelly - green tortora beige,SUPERGA,Green Tortora Beige,Code S1114WW-AEO,Canvas Upper with Rubber sole,R1049,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2173100/original.jpg,women,"UK 3.5, UK 5, UK 5.5, UK 6.5, UK 7, UK 2.5, UK 4, UK 8, ",,
23,Continental 80 stripes w - ftwr white/silver met./grey three,adidas Originals,ftwr white/silver met./grey three,Code S42626,Leather Upper/Rubber Sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2174456/original.jpg,women,"UK 3.5, UK 4, UK 5, UK 6, UK 7, UK 8, UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,
24,Continental 80 stripes w - ftwr white/clear pink/hazy rose,adidas Originals,ftwr white/clear pink/hazy rose,Code S42625,Leather Upper/Rubber Sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2174426/original.jpg,women,"UK 3.5, UK 4, UK 5, UK 6, UK 7, UK 8, UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,
25,Gel-lyte iii og - birch/camel beige,Asics,Birch/Camel beige,Code 1202A236_206,Suede/Mesh Upper/Rubber Sole,R1259,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2174308/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, ",,
26,Chuck taylor all star summer fest all-over print ox - festival,Converse,Egret/sesame/black,,Recycled poly-canvas upper with Rubber Sole,R899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2171875/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,
