,Model,Brand,Colour,Fabrication,Style,Price,Picture,Age,size
0,Gazelle w - clear lilac/cloud white,adidas Originals,Clear Lilac/Cloud White,Nubuck Upper with Rubber Sole,Code B41663,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2254179/original.jpg,women,"UK 4, UK 6, UK 7, UK 7.5, UK 8, "
1,"Air Force 1 '07 SE ""Indigo""",Nike,White/Obsidian-White-Black,Synthetic Upper with Rubber Sole,Code CZ0269-100,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2253623/original.jpg,women,"UK 3, UK 4, UK 4.5, UK 5, UK 5.5, UK 6, UK 6.5, UK 7, UK 8, "
2,Nizza platform w - fv5322 - ftwr white/ftwr white/ftwr white,Adidas Originals,Ftwr white/ftwr white/ftwr white,Textile Upper with Rubber Sole,Code fv5322,R1399,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2250883/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
3,Lyte classic - white/camel beige,Asics,White/camel beige,Mesh upper with Suede overlays & Rubber sole,Code 1202A112-100,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2250261/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
4,Retrorun - eh1859 - core black/cloud white/alumina,Adidas Originals,Core black/cloud white/alumina,Nylon and suede upper with Rubber sole,Code EH1859,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2250871/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
5,Stan Smith - ftwr white/core black,Adidas Originals,Ftwr white/ftwr white/core black,Synthetic Upper with Rubber Sole,Code FX5500,R1499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2245795/original.jpg,men,"UK 3, UK 4, UK 4.5, UK 5, UK 5.5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, "
6,Courtpoint - fy8407 - ftwr white/silver met./dove grey,Adidas Originals,Ftwr white/silver met./dove grey,Leather Upper with Rubber Sole,Code FY8407,R899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2250963/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
7,Court Bold - ftwr white/iron met.,Adidas Originals,Ftwr white/ftwr white/iron met.,Synthetic Upper with Rubber Sole,Code Gz2695,R1099,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251261/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
8,Courtpoint - core black/iron met./ftwr white,adidas Performance,Core black/iron met./ftwr white,Leather Upper with Rubber Sole,Code H01966,R899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246337/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
9,NMD_R1 - halo blush/ftwr white/core black,Adidas Originals,Halo Blush / Cloud White / Core Black,Stretch Knit Upper with Rubber Sole,Code GZ7996,R2799,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246268/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
10,Top Sleek - ftwr white/gold met.,Adidas Originals,Ftwr white/ftwr white/gold met.,Synthetic Upper with rubber Sole,Code Q46111,R1599,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2247421/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
11,ZX 1K Boost - clear pink/ftwr white/violet tone,Adidas Originals,Clear pink/ftwr white/violet tone,,Code H02936,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246020/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
12,Futurecourt - h68185 - ftwr white/ftwr white/wonder white,adidas Originals,Ftwr White & Wonder White,Leather Upper with Rubber sole,Code h68185,R1599,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2224707/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
13,Court Tourino - ftwr white/core black,Adidas Originals,Ftwr white/ftwr white/core black,Synthetic Upper with Rubber Sole,Code H05279,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2247407/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
14,Forum low - ftwr white/shock pink,Adidas Originals,Ftwr white/ftwr white/shock pink,Leather Upper with Rubber Sole,Code G58001,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246945/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
15,ZX 1K Boost - wonder white/wonder white/acid orange,Adidas Originals,Wonder white/wonder white/acid orange,Mesh upper with overlays & Rubber Sole,Code GZ9173,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246288/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
16,Choigo - ftwr white/matte silver/rose tone,Adidas Originals,Ftwr white/matte silver/rose tone,Synthetic & Textile Upper with Rubber Sole,Code gz8141,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246278/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
17,HER Studio London Superstar,Adidas Originals,Ftwr white/matte gold,,Code H04077,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246034/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
18,HER Studio London Forum bold,adidas Originals,"Ftwr White, Supplier Colour & Matte Gold",Leather Upper with Rubber sole,,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246383/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
19,Choigo - ftwr white/pulse yellow/light purple,Adidas Originals,Ftwr white/pulse yellow/light purple,Mesh & Synthetic Upper with Rubber Sole,Code H04324,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246044/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
20,Authentic - (tartan daze) multi/acid dye,Vans,(tartan daze) multi/acid dye,Canvas & Leather Upper with Waflle Sole,Code VN0A5HZS9GB1,R999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2243925/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
21,Stan Smith - ftwr white/gold met.,Adidas Originals,ftwr white/ftwr white/gold met,Leather Upper with Rubber Sole,,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2223618/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
22,Nizza platform - core black/ftwr white,Adidas Originals,Core black/ftwr white/ftwr white,Canvas Upper with Rubber Sole,Code FV5321,R1399,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2245787/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
